dbh	SpCode	Sex	Flowers	CII
39	iryapa	F	1	2
45	iryapa	F	1	2
27	iryapa	F	1	2
72	iryapa	M	1	1
35	iryapa	M	1	1
49	iryapa	F	1	1
63	iryapa	F	1	1
103	iryapa	F	1	2
103	iryapa	F	1	3
43	iryapa	F	1	1
31	iryapa	M	1	1
58	iryapa	M	1	1
17	iryapa	M	1	1
36	iryapa	M	1	2
25	iryapa	M	1	3
52	iryapa	F	1	2
40	iryapa	F	1	1
24	iryapa	F	1	3
63	iryapa	M	1	1
38	iryapa	M	1	1
38	iryapa	M	1	2
61	iryapa	F	1	2
43	iryapa	F	1	3
33	iryapa	M	1	1
37	iryapa	M	1	1.5
49	iryapa	M	1	1
22	iryapa	M	1	3
41	iryapa	M	1	3
21	iryapa	M	1	1.5
42	iryapa	F	1	2
46	iryapa	F	1	1.5
48	iryapa	F	1	3
38	iryapa	M	1	1
31	iryapa	F	1	3
49	iryapa	M	1	1.5
25	iryapa	M	1	1
54	iryapa	M	1	1
51	iryapa	F	1	2
33	iryapa	F	1	1
57	iryapa	F	1	1.5
40	iryapa	F	1	3
42	iryapa	M	1	3
46	iryapa	M	1	2
42	iryapa	M	1	1
57	iryapa	F	1	2
47	iryapa	M	1	1
43	iryapa	M	1	1
74	iryapa	F	1	3
42	iryapa	F	1	2
68	iryapa	F	1	2
71	iryapa	F	1	3
37	iryapa	M	1	2
65	iryapa	M	1	1
23	iryapa	M	1	3
42	iryapa	M	1	3
38	iryapa	F	1	2
23	iryapa	M	1	3
30	iryapa	M	1	2
105	iryapa	0	1	3
33	iryapa	F	1	2
24	iryapa	M	1	1
47	iryapa	F	1	3
47	iryapa	M	1	1
83	iryapa	M	1	1
64	iryapa	M	1	1
34	iryapa	M	1	3
33	iryapa	F	1	2
61	iryapa	M	1	3
48	iryapa	M	1	2
47	iryapa	M	1	3
69	iryapa	M	1	1
85	iryapa	F	1	3
79	iryapa	F	1	2
55	iryapa	F	1	2
53	iryapa	F	1	2
59	iryapa	M	1	1.5
59	iryapa	M	1	2
74	iryapa	M	1	2
109	iryapa	M	1	2
53	iryapa	M	1	2
68	iryapa	M	1	1
45	iryapa	F	1	3
82	iryapa	M	1	2
60	iryapa	M	1	3
20	iryapa	M	1	3
121	iryapa	M	1	1
43	iryapa	F	1	2
86	iryapa	M	1	1
78	iryapa	F	1	3
74	iryapa	M	1	3
95	iryapa	M	1	2
23	iryapa	0	0	3
30	iryapa	F	0	1
63	iryapa	F	0	3
76	iryapa	F	1	1
304	Viroob	M	NA	4
514	virodu	M	1	NA
250	iryaal	M	1	NA
377	virodu	M	1	4
445	Viroob	F	1	NA
130	iryapa	NA	NA	NA
122	iryaal	0	NA	NA
58	iryaal	0	0	1
179	iryaal	0	NA	NA
149	iryaal	0	0	1
111	iryaal	0	0	NA
150	otobgl	0	0	4
119	otobgl	0	0	NA
107	otobgl	0	0	NA
141	otobgl	0	0	NA
117	otobgl	0	0	2
188	otobgl	0	0	2
169	otobgl	0	0	4
161	otobgl	0	0	1
184	otobgl	0	0	4
121	otobgl	0	0	2
130	otobgl	0	0	3
121	otobgl	0	0	3
118	otobgl	0	0	4
141	otobgl	0	0	3
107	otobgl	0	0	2
204	otobgl	0	0	4
136	otobgl	0	0	3
191	otobgl	0	0	1
119	otobgl	0	0	3
277	otobgl	0	0	3
165	otobgl	0	0	2
445	otobgl	0	0	5
158	otobgl	0	0	4
250	otobgl	0	0	3
152	otobgl	0	0	3
197	otobgl	0	0	3
122	otobgl	0	0	0
205	otobgl	0	0	2
161	otobgl	0	0	2
284	otobgl	0	0	4
157	otobgl	0	0	2.5
223	otobgl	0	0	4
107	otobgl	0	0	1
152	otobgl	0	0	2
179	otobgl	0	0	4
125	otobgl	0	0	3
187	otobgl	0	0	2.5
130	otobgl	0	0	3
412	otobgl	0	0	4
158	otobgl	0	0	4
200	otobgl	0	0	2
287	otobgl	0	0	2
240	otobgl	0	0	2
181	otobgl	0	0	3
228	otobgl	0	0	4
102	otobgl	0	0	4
273	otobgl	0	0	4
270	otobgl	0	0	NA
364	otobgl	0	0	5
299	otobgl	0	0	2
250	otobgl	0	0	2
280	otobgl	0	0	4
255	otobgl	0	0	3
109	otobgl	0	0	2
90	otobgl	0	0	NA
208	otobgl	0	0	4
100	otobgl	0	0	1
172	otobgl	0	0	2
214	otobgl	0	0	NA
183	otobgl	0	0	4
126	otobgl	0	0	3
181	otobgl	0	0	3
183	otobgl	0	0	3
213	otobgl	0	0	3
201	otobgl	0	0	1
187	otobgl	0	0	2
165	otobgl	0	0	2
268	otobgl	0	0	3
126	otobgl	0	0	2
240	otobgl	0	0	4
136	otobgl	0	0	2
331	otobgl	0	0	3
170	otobgl	0	0	4
191	otobgl	0	0	3
254	otobgl	0	0	4
269	otobgl	0	0	3
127	otobgl	0	0	3
112	otobgl	0	0	2
290	otobgl	0	0	3
148	otobgl	0	0	1
231	otobgl	0	0	1
126	otobgl	0	0	1
165	otobgl	0	0	1
321	otobgl	0	0	4
327	otobgl	0	0	NA
194	otobgl	0	0	3
135	otobgl	0	0	1
